Métrica,Valor
R²,0.9912765109971361
R² Ajustado,0.9909904949642553
F-statistic,3465.807496918605
Prob (F-statistic),1.5525716315223215e-63
AIC,-239.70015533894048
BIC,-233.22350608886146
Observações,64.0
