Year,Country,Code,ContinentCode,GDP per capita constant dollars,Capital investment billion USD,Labor force million people,education,GDP billion USD,Capital stock billion USD,Capital stock per capita,ln_gdp_per_capita,ln_capital_per_capita,ln_education,predicted,residuals,predicted_gdp_per_capita,gdp_growth_rate,predicted_growth_rate,capital_contribution,human_capital_contribution,ptf_contribution
1976,Belgium,BEL,EU,22144.52,19.18,3.4515496909369103,8.949053999999995,76432.91116194623,172.99240379661416,50120.21245148466,10.005345340800645,10.82217964785746,2.1915478283762795,9.946208158602134,0.059137182198510274,20872.925313538668,5.464106898011689,2.8921129770513865,0.8655866472000598,1.9854939989005707,2.4689683603226804
1977,Belgium,BEL,EU,22255.68,22.06,3.48738737702903,9.316647999999995,77614.17749919744,184.6728595688173,52954.50135113569,10.010352535914638,10.877188358769184,2.231802907353173,9.975772621176484,0.03457991473815447,21499.23476542424,0.501975206507077,3.000583015928937,1.0508897228502472,1.9055565345849252,-2.4557267460358334
1978,Belgium,BEL,EU,22866.82,26.75,3.523597168366457,9.684241999999996,80573.46220154547,200.34248799468824,56857.3756935919,10.037442230562744,10.948301230316302,2.2705000284372634,10.007676141039687,0.029766089523057815,22196.19465075959,2.745995628981013,3.241789268035822,1.358544576533785,1.8318074097864463,-0.4813825215096023
1979,Belgium,BEL,EU,23381.13,30.19,3.5601829285444366,10.051835999999996,83241.09987607818,218.5119387150069,61376.60426464223,10.059684565765725,11.024784003486651,2.307755304387089,10.039923003241991,0.01976156252373329,22923.617804409085,2.2491540144191413,3.2772426314282788,1.4611315002234984,1.7635547200069914,-1.0004526999324541
1980,Belgium,BEL,EU,24393.3,33.68,3.597148561274199,10.419429999999997,87746.32399972991,239.0812223921065,66464.09463483989,10.102063783410577,11.104417150525933,2.343672332333783,10.0721382276877,0.02992555572287614,23674.1313715065,4.329003773555851,3.273975222851,1.5213164321574528,1.7002060124134248,1.0163993199143087
1981,Belgium,BEL,EU,24325.81,23.64,3.6344980107994846,10.787023999999995,88412.10805608622,248.3763490485801,68338.55688201201,10.09929320557483,11.132229408706667,2.37834393029116,10.09386400857807,0.0054291969967597,24194.09825344344,-0.2766743327061061,2.196350412090542,0.5313270536060273,1.6412510354309577,-2.4496358726117036
1982,Belgium,BEL,EU,24477.2,19.89,3.672235262317399,11.154617999999996,89886.03696279544,253.3637681056653,68994.42710154079,10.105497350999508,11.14178101367326,2.411853582564828,10.111551232526427,-0.0060538815269186586,24625.831513759702,0.6223430997775559,1.784456919177857,0.1824744359529831,1.5862479588826306,-1.1483078523677295
1983,Belgium,BEL,EU,24555.48,16.35,3.710364342403631,11.522211999999998,91109.7774026055,254.5119420193253,68594.86522944768,10.10869032623586,11.135972960029823,2.4442766507243268,10.125789781228333,-0.01709945499247212,24978.975779766042,0.31980782115601514,1.4340399665652814,-0.11095740624508008,1.5348122764356988,-1.1045573465553762
1984,Belgium,BEL,EU,25161.49,16.52,3.748889319442093,11.889805999999998,94327.64112224904,255.7612254981658,68223.19991464246,10.133069930046576,11.13053996068676,2.4756813943374514,10.139617935768129,-0.0065480057215534515,25326.788176570615,2.4679216207543098,1.3924205694867409,-0.10379234632567101,1.4866078003052468,1.0551449270919155
1985,Belgium,BEL,EU,25569.49,16.37,3.7878143040590153,12.2574,96852.47996949396,256.78555196827585,67792.5398014113,10.149155122837984,11.124207435446912,2.5061298362395257,10.152821559356331,-0.0036664365183476377,25663.410984341845,1.6215255932776618,1.329117633962884,-0.12097694317767568,1.4413393019979233,0.28815692032056006
1986,Belgium,BEL,EU,26026.28,22.28,3.827143449561556,12.624994,99606.30701845491,263.65841885017926,68891.7001217669,10.166862075751128,11.14029098707162,2.535678499913786,10.169881635319662,-0.003019559568533836,26104.986672748517,1.7864650409531002,1.7206430145863871,0.30726113790341086,1.3987464584297187,0.06468769498130955
1987,Belgium,BEL,EU,26603.93,29.33,3.8668809523809538,12.992588,102874.23017547624,277.1689137191685,71677.64333383662,10.18881422821757,11.179934169511188,2.5643790410158718,10.191041081154399,-0.0022268529368290046,26663.23905141052,2.219487379679319,2.1384894221944784,0.7573457424529837,1.3585988410206686,0.07927066317053641
1988,Belgium,BEL,EU,27772.05,35.48,3.907031052520293,13.360182,108506.2617421462,296.0187788960184,75765.65809607955,10.23178539824602,11.23540040954956,2.5922787907702016,10.214844302462229,0.01694109578379077,27305.523929980027,4.390779858464522,2.4088779211373756,1.059630386812938,1.3206917439700916,1.9167948720619339
